job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary<=15K,demand
数据分析师,数据分析,北京,北京融海新程科技有限公司,100-299人,15,TRUE,大专
数据分析师,"数据分析,MySQL",北京,软通动力信息技术(集团)股份有限公司,10000人以上,17.5,FALSE,硕士
数据分析师,"风险控制,数据分析,金融,风险审核,金融实习生",北京,经国资本管理集团有限公司,500-999人,12.5,TRUE,本科
数据分析师,"Python,SQL,商业分析,数据采集,数据建模",北京,北京高因科技有限公司,1000-9999人,32.5,FALSE,本科
数据分析师,"数据分析,数据挖掘,数据清洗,数据仓库",北京,河北倾言网络科技有限公司,300-499人,6.5,TRUE,大专
数据分析师,"Tableau,数据分析,数据挖掘,Python,数据清洗",北京,圆心科技,500-999人,20,FALSE,大专
数据分析师,"商业分析,数据挖掘,数据建模,R语言,Python",北京,车主邦(北京)科技有限公司,1000-9999人,17.5,FALSE,本科
数据分析师,"数据分析,深度学习,商业分析,商业数据分析",北京,经国资本管理集团有限公司,500-999人,9,TRUE,大专
数据分析师,"SQL,Python,SPSS",北京,雅昌文化集团,1000-9999人,17.5,FALSE,本科
数据分析师,"Python,数据建模",北京,北京思源瀚海文化传媒有限公司,100-299人,17.5,FALSE,本科
数据分析师,"数据分析,商业数据分析,需求分析,商业分析",北京,北京高思博乐教育科技股份有限公司,1000-9999人,20,FALSE,本科
数据分析师,"数据采集,需求分析",北京,佰诺全景生物技术(北京)有限公司,20-99人,9,TRUE,本科
数据分析师,数据分析,北京,金保信社保卡科技有限公司,20-99人,30,FALSE,本科
数据分析师,"数据分析,数据仓库,数据治理",北京,上海佩凌信息科技有限公司,100-299人,7,TRUE,大专
数据分析师,"Python,SQL",北京,飞鹤乳业,1000-9999人,12.5,TRUE,本科
数据分析师,"数据分析,Tableau,SQL",北京,北京永华中道管理咨询有限公司,20-99人,40,FALSE,本科
数据分析师,"数据分析,SQL,Python,机器学习,数据建模",北京,北京安德信业信息咨询有限责任公司,100-299人,27.5,FALSE,本科
数据分析师,"数据分析,数据挖掘,大数据分析",北京,北京市华都峪口禽业有限责任公司,1000-9999人,9,TRUE,本科
数据分析师,"数据分析,Python,数据挖掘,数据建模,大数据平台",北京,北京华通人商用信息有限公司,100-299人,17.5,FALSE,本科
数据分析师,"数据分析,行业分析,爬虫,Hive,SQL",北京,北京抖视科技有限公司,100-299人,16,FALSE,本科
数据分析师,数据分析,北京,经国资本管理集团有限公司,500-999人,12.5,TRUE,大专
数据分析师,"SPSS,SQL,大数据分析,商业分析",北京,北京万科物业服务有限公司,1000-9999人,8,TRUE,本科
数据分析师,"数据分析,ETL,数据治理",北京,北京数慧时空信息技术有限公司,100-299人,17.5,FALSE,学历不限
数据分析师,"数据挖掘,数据采集,商业分析",北京,北京迈诺凯投资咨询有限公司,20-99人,10,TRUE,本科
数据分析师,"Tableau,数据分析,Python,SPSS",北京,江融信,100-299人,20,FALSE,本科
数据分析师,"数据分析,机器学习,Python,数据采集,MySQL",北京,优必爱,20-99人,17.5,FALSE,本科
数据分析师,数据分析,北京,北京猎优才科技有限公司,500-999人,40,FALSE,本科
数据分析师,数据分析,北京,南京烽火星空通信发展有限公司,1000-9999人,15,TRUE,硕士
数据分析师,"数据采集,数据建模,数据挖掘,需求分析",北京,中建政研集团有限公司,500-999人,20,FALSE,本科
数据分析师,"数据分析,数据治理,Python,R语言",北京,中精普康(北京)医药科技有限公司,20-99人,22.5,FALSE,本科
数据分析师,"数据采集,商业分析,行业分析",北京,亚信科技(中国)有限公司,10000人以上,12.5,TRUE,本科
数据分析师,"数据分析,数据挖掘,大数据分析,数据仓库",北京,微猎(上海)劳务派遣有限公司北京分公司,100-299人,12,TRUE,学历不限
数据分析师,"数据分析,数据挖掘,数据建模,Hive,Hadoop",北京,广州汇智通信技术有限公司,1000-9999人,17.5,FALSE,硕士
数据分析师,数据分析,北京,博彦科技,10000人以上,12.5,TRUE,本科
数据分析师,"数据建模,Python,数据分析",北京,东方金诚信用管理(北京)有限公司,20-99人,10,TRUE,本科
数据分析师,"数据分析,数据挖掘",北京,宁波魔小方人力资源服务有限公司北京分公司,100-299人,11.5,TRUE,本科
数据分析师,"Python,Pandas,数据分析,统计",北京,悦优博迈,20-99人,15,TRUE,本科
