id,job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary_fif,demand
65,Hadoop开发工程师,"实时数据处理,离线数据处理,数仓建模,数据仓库,大数据开发",北京,软通动力信息技术(集团)股份有限公司,10000人以上,20,FALSE,本科
66,Hadoop开发工程师,"ETL,数据仓库,数据处理,Kettle,Hive",北京,北京中科建友科技股份有限公司,100-299人,14,TRUE,本科
67,Hadoop开发工程师,"Hive,数据开发,数据处理,Hadoop",北京,安正软件,100-299人,16,FALSE,本科
68,Hadoop开发工程师,"Hadoop,Hive,HDFS,Linux,Python",北京,打扮家(北京)科技有限公司,100-299人,32.5,FALSE,本科
69,Hadoop开发工程师,"Hadoop,Hbase,Hive",北京,东方国信,1000-9999人,12,TRUE,本科
70,Hadoop开发工程师,"Hadoop,Hive,Flink,MySQL,Oracle",北京,软通动力信息技术(集团)股份有限公司,10000人以上,17.5,FALSE,本科
71,Hadoop开发工程师,"数据仓库,Hadoop,Spark,BI,SQL Server",北京,国双科技,500-999人,20,FALSE,本科
72,DBA,"数据仓库,数据处理,数据集市,数据清洗,数据库架构",北京,深圳市讯方技术股份有限公司,1000-9999人,15,TRUE,大专
73,其他职业,"MAXCOMPUTE,DATAWORKS,数据库,Hadoop,数据库开发",北京,电旗,1000-9999人,22.5,FALSE,本科
74,数据分析师,"SQL,Python,数据仓库",北京,贝壳找房(北京)科技有限公司,10000人以上,17.5,FALSE,本科
75,Hadoop开发工程师,"Hadoop,Oracle,SQL",北京,东方国信,1000-9999人,8,TRUE,本科
76,Hadoop开发工程师,"Hadoop,Hive,大数据平台,SparkSQL,大数据开发",北京,北京紫光数智科技股份有限公司,100-299人,15,TRUE,本科
77,Hadoop开发工程师,"Java,C++,数据库架构,Hadoop,Spark",北京,法本信息,1000-9999人,20,FALSE,本科
78,Hadoop开发工程师,"数据架构,大数据架构,架构设计,Greenplum,大数据",北京,用友网络科技股份有限公司,10000人以上,37.5,FALSE,本科
79,Hadoop开发工程师,"ETL,Hadoop,Spark,Hbase,数据库开发",北京,北京诸葛云游科技有限公司,20-99人,17.5,FALSE,本科
80,Hadoop开发工程师,"大数据开发,Hadoop",北京,申朴信息,500-999人,15,TRUE,大专
81,Hadoop开发工程师,"Hadoop,Java,运维经验2年,掌握1种JAVA/SCALA,掌握PYTHON/SHELL1种",北京,亚信科技(中国)有限公司,10000人以上,21,FALSE,本科
82,Hadoop开发工程师,"Hadoop,Hive,Flink,Kafka,ElasticSearch",北京,合生創展集團有限公司,500-999人,20,FALSE,本科
83,Hadoop开发工程师,"Hive,Java,HDFS,ZooKeeper,Hbase",北京,北京永生鼎立信息技术有限公司,100-299人,12.5,TRUE,大专
84,Hadoop开发工程师,"大数据开发,数据仓库,SQL,MySQL",北京,天宇正清科技有限公司,500-999人,20,FALSE,本科
85,Hadoop开发工程师,"Oracle,MySQL,Java,SQL",北京,北京京师励耘教育科技有限公司,20-99人,15,TRUE,本科
86,Hadoop开发工程师,"Hadoop,Spark,Hbase,MySQL,SQL",北京,北京锐安科技有限公司,1000-9999人,20,FALSE,本科
87,Hadoop开发工程师,"大数据平台,Hadoop,MySQL,数据中台,ZooKeeper",北京,中国电信集团系统集成有限责任公司,10000人以上,32.5,FALSE,本科
88,Hadoop开发工程师,"Hive,Hadoop,Kafka,Flume,Storm",北京,北京蓝色曙光信息技术有限公司,20-99人,12.5,TRUE,大专
89,Hadoop开发工程师,"数据库,MySQL,数据分析",北京,朗新科技,1000-9999人,9,TRUE,本科
90,Hadoop开发工程师,"数据建模,ETL,SQL,HSQ,Hadoop",北京,亿达信息,1000-9999人,24.5,FALSE,大专
91,Hadoop开发工程师,"架构设计,Hadoop,Spark,大数据平台,大数据架构",北京,央视市场研究,500-999人,30,FALSE,本科
92,Hadoop开发工程师,"数据仓库,数据库",北京,航天长信科技(北京)有限公司,100-299人,26,FALSE,本科
93,Hadoop开发工程师,"Hadoop,Spark,Flink,Hbase",北京,北龙中网,100-299人,25,FALSE,本科
94,Hadoop开发工程师,Hadoop,北京,天云大数据,100-299人,20,FALSE,本科
95,数据分析师,"数据仓库,ETL,Hadoop,数据库",北京,北京百米互联科技有限公司,100-299人,17.5,FALSE,大专
96,Hadoop开发工程师,"大数据开发,数据仓库,Flink,数据架构",北京,柯锐特互动(北京)科技有限公司,100-299人,20,FALSE,本科
97,Hadoop开发工程师,"Scala,Java,Spark,BI",北京,北京明略软件系统有限公司,100-299人,20,FALSE,本科
98,Hadoop开发工程师,"Java,Scala,Hadoop,HDFS,Kafka",北京,中科信息安全共性技术国家工程研究中心有限公司,100-299人,17.5,FALSE,学历不限
99,数据分析师,"Hadoop,Spark,数据建模,HDFS,模型设计",北京,青岛伟东云教育集团有限公司,1000-9999人,30,FALSE,本科
100,Hadoop开发工程师,Shell,北京,中信网络科技股份有限公司,500-999人,17.5,FALSE,本科
101,Java开发工程师,"Hadoop,Storm,Spark",北京,北京瑞友科技股份有限公司,1000-9999人,22,FALSE,大专
102,前端开发,"BI,数据仓库,数据建模,数据清洗,大数据分析",北京,高途课堂,1000-9999人,30,FALSE,本科
103,Hadoop开发工程师,大数据开发,北京,北京融七牛信息技术有限公司,1000-9999人,22.5,FALSE,本科
104,数据分析师,"Tableau,数据库开发,Spark,Hive",北京,北京卓为科技有限公司,100-299人,20,FALSE,大专
105,Hadoop开发工程师,"大数据开发,数据分析,Java,Flink",北京,智联招聘,1000-9999人,23,FALSE,本科
106,Hadoop开发工程师,"Hadoop,Spark,Scala,Kafka",北京,北京众志好活科技有限公司,100-299人,30,FALSE,本科
107,Hadoop开发工程师,"Hbase,Hadoop,Storm,Spark",北京,北京神州飞腾信息科技有限公司,100-299人,17.5,FALSE,大专
108,Hadoop开发工程师,"数据仓库,ETL,数据库,Hive",北京,高途课堂,1000-9999人,30,FALSE,本科
109,Hadoop开发工程师,"Hadoop,数据仓库,大数据开发",北京,北京博通睿创信息技术有限公司,20-99人,12.5,TRUE,本科
110,Hadoop开发工程师,MySQL,北京,北京摩比埃科技有限公司,100-299人,17.5,FALSE,本科
111,其他职业,"SQL,Oracle,Hadoop",北京,纬创软件,1000-9999人,16,FALSE,本科
112,Hadoop开发工程师,"大数据开发,Linux,SQL,Java,数据仓库",北京,柯锐特互动(北京)科技有限公司,100-299人,16.5,FALSE,本科
113,Hadoop开发工程师,大数据开发,北京,北京紫光同创信息技术有限公司,100-299人,20,FALSE,本科
114,DBA,"数据仓库,数据库,数据处理,数据挖掘,数据库开发",北京,北京阿提拉科技有限公司,100-299人,17.5,FALSE,学历不限
115,Hadoop开发工程师,"Hadoop,大数据开发",北京,北京博超时代软件有限公司,100-299人,25,FALSE,本科
116,Hadoop开发工程师,"ETL,数据库开发,架构设计,大数据开发",北京,橙色云互联网设计有限公司,100-299人,17.5,FALSE,本科
117,Hadoop开发工程师,"大数据开发,数据仓库,Flink,数据架构",北京,北京六合新创科技有限公司,20-99人,17.5,FALSE,本科
118,Hadoop开发工程师,"数据处理,大数据分析,数据治理,大数据开发",北京,步长制药,1000-9999人,20,FALSE,本科
119,数据分析师,"Hadoop,Hive,Oracle,Python,Linux",北京,华科信息,100-299人,13.5,TRUE,大专
120,Hadoop开发工程师,"大数据开发,Flink,数据架构,Kafka",北京,柯锐特互动(北京)科技有限公司,100-299人,18,FALSE,本科
121,Hadoop开发工程师,"ETL,SQL,Hadoop,Oracle,Hive",北京,北京和鸿盈科技术有限公司,1000-9999人,16.5,FALSE,本科
122,Hadoop开发工程师,"大数据开发,Spark,OLAP,数据仓库",北京,金风科技股份有限公司,1000-9999人,25,FALSE,本科
123,Hadoop开发工程师,"ETL,Kafka,Hadoop,Storm",北京,上海兴岩信息科技有限公司,100-299人,16,FALSE,本科
124,Hadoop开发工程师,"Hadoop,ZooKeeper",北京,重庆上腾忆想科技有限公司北京分公司,1000-9999人,20.5,FALSE,大专
125,Hadoop开发工程师,"Java,Flume,Hadoop,Linux,Hive",北京,格雷时尚,1000-9999人,27.5,FALSE,本科
126,数据分析师,"SQL,数据库",北京,神舟软件,1000-9999人,22.5,FALSE,本科
127,Hadoop开发工程师,"Java,Spark,SQLServer,SQL",北京,上海微创软件股份有限公司北京分公司,500-999人,16,FALSE,大专
128,Hadoop开发工程师,"Hadoop,数据库开发,Linux,数据处理,Kafka",北京,北京六合新创科技有限公司,20-99人,17.5,FALSE,本科
129,Hadoop开发工程师,"Kafka,Flume,Hadoop,Spark,Hbase",北京,北京融信数联科技有限公司,20-99人,17,FALSE,本科
130,Hadoop开发工程师,"ETL,数据处理,Hadoop,Hive",北京,泰康保险集团,10000人以上,20,FALSE,本科
131,Hadoop开发工程师,"大数据开发,Spark",北京,北京南天软件有限公司,1000-9999人,13,TRUE,本科
132,Hadoop开发工程师,"SQL,Python,数据处理,Hadoop,数据仓库",北京,博锐尚格,500-999人,17.5,FALSE,本科
133,Hadoop开发工程师,数据仓库,北京,思特奇,1000-9999人,22.5,FALSE,本科
134,Hadoop开发工程师,"数据仓库,Spark,Hadoop,C++,Python",北京,软通动力信息技术(集团)股份有限公司,10000人以上,25,FALSE,大专
135,Hadoop开发工程师,"Hadoop,Hive,Hbase,Oracle,Linux",北京,先进数通,1000-9999人,17,FALSE,本科
136,数据分析师,"数据分析,大数据开发,数据仓库,数据治理,数据挖掘",北京,北京国电通网络技术有限公司,1000-9999人,17.5,FALSE,本科
137,Hadoop开发工程师,"MySQL,SQL,Spark,Linux,Flink",北京,中国兵器工业计算机应用技术研究所,100-299人,12.5,TRUE,本科
138,DBA,,北京,中科金审,100-299人,17.5,FALSE,本科
139,数据分析师,Hadoop,北京,北京医百科技有限公司,100-299人,40,FALSE,本科
140,Hadoop开发工程师,"数据库开发,Hive,Python,Hadoop,Spark",北京,极光,500-999人,20,FALSE,本科
141,数据分析师,"Java,.NET",北京,中国外运股份有限公司,1000-9999人,25,FALSE,本科
142,数据分析师,"数据架构,C#,C++,Python",北京,青岛伟东云教育集团有限公司,1000-9999人,22.5,FALSE,本科
143,Hadoop开发工程师,"Oracle,Hive,Python",北京,智联招聘,1000-9999人,27.5,FALSE,本科
144,Hadoop开发工程师,"数据建模,数据库,大数据分析,SQL Server,MySQL",北京,北京嘉德启美文化发展有限公司,20-99人,20,FALSE,本科
145,Hadoop开发工程师,"大数据开发,Hadoop,Spark,Flink,Hbase",北京,嘉环科技,1000-9999人,15,TRUE,大专
146,数据分析师,"大数据分析,Hive,Python,Spark,ElasticSearch",北京,极光,500-999人,22.5,FALSE,本科
147,Hadoop开发工程师,"Flink,Hadoop",北京,深圳市赢时胜信息技术股份有限公司北京分公司,1000-9999人,24,FALSE,本科
148,Hadoop开发工程师,"Hadoop,Spark,Hive,Hbase",北京,广联达,1000-9999人,25,FALSE,本科
149,Hadoop开发工程师,Hadoop,北京,云迹科技,500-999人,40,FALSE,本科
150,Hadoop开发工程师,"数据仓库,Spark,大数据开发,数据集市,Yarn",北京,远盟康健科技有限公司,100-299人,25,FALSE,本科
151,Hadoop开发工程师,大数据开发,北京,华泰保险集团股份有限公司,1000-9999人,17.5,FALSE,本科
152,Hadoop开发工程师,Hadoop,北京,煜象科技(杭州)有限公司,100-299人,17.5,FALSE,本科
153,Hadoop开发工程师,"数据库开发,SQL,Spark,HDFS,Hadoop",北京,上海欣兆阳信息科技有限公司,100-299人,22.5,FALSE,本科
154,Hadoop开发工程师,"大数据开发,Linux,SQL,Java,数据仓库",北京,柯锐特互动(北京)科技有限公司,100-299人,16.5,FALSE,本科
155,数据分析师,数据挖掘,北京,公安部第一研究所,1000-9999人,20,FALSE,硕士
156,Hadoop开发工程师,"Hadoop,Hbase,Flink",北京,玄吉(上海)信息技术有限公司,20-99人,20,FALSE,本科
157,Hadoop开发工程师,"大数据分析,大数据开发,数据清洗,模型设计,数据建模",北京,北京云海大业电力高科技有限公司,100-299人,17.5,FALSE,大专
158,数据分析师,"Python,Java,C++,PHP",北京,软通动力信息技术(集团)股份有限公司,10000人以上,12.5,TRUE,本科
159,Hadoop开发工程师,"数据仓库,Hadoop,Spark,数据建模,模型设计",北京,爱可生,1000-9999人,23.5,FALSE,本科
160,Hadoop开发工程师,"ETL,数据仓库,Spark,Hadoop",北京,江融信,100-299人,16,FALSE,本科
161,Hadoop开发工程师,"Hive,Spark,Flink,Kafka,Scala",北京,北京龙德缘建设工程有限公司,100-299人,22.5,FALSE,本科
